file_name,Start,A,B,X,Y,Z,DPadUp,DPadDown,DPadLeft,DPadRight,L,R,LPressure,RPressure,XAxis,YAxis,CXAxis,CYAxis
frame0_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame1_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame2_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame3_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame4_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame5_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame6_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame7_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame8_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame9_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame10_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame11_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame12_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame13_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame14_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame15_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame16_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame17_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame18_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame19_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
frame20_fileGALE01_2023-10-02_15-51-03_0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,126,129,128,128
